user_id,book_id,is_read,rating,is_reviewed
U5,B6499,1,5,0
U8,B7318,1,5,0
U13,B3777,1,5,0
U16,B3777,1,5,0
U21,B14375,1,5,0
U35,B18545,1,5,0
U66,B21886,1,5,0
U82,B19287,1,5,0
U85,B24477,1,5,0
U97,B11275,1,5,0
U97,B3358,1,5,0
U102,B27962,1,5,0
U104,B7318,1,5,1
U112,B29868,1,5,0
U142,B8817,1,5,1
U144,B17561,1,5,1
U153,B5131,1,5,0
U161,B44744,1,5,0
U161,B43201,1,5,0
U162,B45890,1,5,0
U162,B45885,1,5,0
U222,B1545,1,5,1
U230,B59517,1,5,1
U240,B60275,1,5,0
U243,B60679,1,5,0
U247,B17697,1,5,0
U258,B3777,1,5,0
U268,B18701,1,5,0
U273,B55322,1,5,0
U274,B3,1,5,0
U279,B67318,1,5,0
U281,B1545,1,5,1
U293,B67724,1,5,0
U297,B69784,1,5,0
U299,B3777,1,5,0
U311,B73969,1,5,0
U319,B3777,1,5,0
U321,B31905,1,5,0
U343,B20904,1,5,0
U350,B69784,1,5,0
U357,B3777,1,5,0
U370,B29868,1,5,1
U378,B3777,1,5,0
U379,B55322,1,5,0
U388,B45717,1,5,0
U389,B17562,1,5,0
U394,B3777,1,5,0
U400,B48788,1,5,0
U413,B92685,1,5,0
U425,B3777,1,5,0
U427,B23132,1,5,0
U427,B12457,1,5,0
U427,B3614,1,5,0
U445,B100636,1,5,0
U459,B17562,1,5,0
U460,B40031,1,5,0
U469,B103579,1,5,1
U470,B103927,1,5,0
U472,B12457,1,5,0
U475,B104367,1,5,0
U480,B105657,1,5,0
U500,B108953,1,5,0
U501,B90428,1,5,0
U503,B110519,1,5,1
U505,B19287,1,5,0
U508,B110894,1,5,1
U512,B16222,1,5,0
U520,B112531,1,5,0
U524,B3614,1,5,0
U527,B113088,1,5,0
U530,B3777,1,5,0
U545,B1545,1,5,0
U547,B115962,1,5,0
U547,B115903,1,5,0
U554,B1545,1,5,0
U564,B119374,1,5,1
U584,B48788,1,5,0
U603,B17562,1,5,0
U605,B57386,1,5,0
U611,B128383,1,5,0
U618,B128926,1,5,0
U626,B129887,1,5,0
U663,B48788,1,5,0
U664,B3777,1,5,0
U679,B1545,1,5,0
U697,B142381,1,5,0
U697,B24613,1,5,0
U697,B142208,1,5,0
U697,B142125,1,5,0
U707,B58876,1,5,0
U714,B145683,1,5,0
U726,B146905,1,5,1
U727,B147182,1,5,0
U731,B3777,1,5,0
U739,B78090,1,5,0
U741,B78194,1,5,1
U750,B55322,1,5,0
U760,B8817,1,5,0
U763,B1545,1,5,0
U777,B1545,1,5,0
U800,B7318,1,5,0
U818,B159232,1,5,1
U826,B3614,1,5,0
U826,B10625,1,5,0
U827,B1545,1,5,0
U831,B121643,1,5,0
U840,B3777,1,5,1
U840,B162294,1,5,0
U845,B23132,1,5,0
U853,B22163,1,5,0
U862,B1545,1,5,0
U873,B3777,1,5,0
U881,B48788,1,5,0
U882,B3777,1,5,0
U884,B3777,1,5,0
U888,B167213,1,5,0
U898,B20904,1,5,0
U898,B23132,1,5,0
U908,B1545,1,5,0
U908,B29868,1,5,0
U914,B37865,1,5,0
U923,B20904,1,5,0
U930,B1545,1,5,0
U936,B3777,1,5,0
U939,B3777,1,5,0
U957,B1545,1,5,0
U985,B177281,1,5,0
U1005,B11275,1,5,1
U1007,B17697,1,5,0
U1031,B7318,1,5,0
U1033,B1545,1,5,0
U1062,B185417,1,5,0
U1064,B6499,1,5,1
U1073,B3777,1,5,0
U1074,B149641,1,5,0
U1083,B24887,1,5,1
U1091,B195538,1,5,0
U1091,B23132,1,5,0
U1096,B196532,1,5,0
U1100,B18545,1,5,0
U1106,B25327,1,5,0
U1131,B12457,1,5,0
U1131,B151678,1,5,1
U1138,B17562,1,5,0
U1138,B205445,1,5,0
U1157,B3777,1,5,0
U1159,B3,1,5,0
U1203,B112531,1,5,0
U1208,B3777,1,5,0
U1216,B46103,1,5,1
U1222,B58876,1,5,0
U1238,B6661,1,5,0
U1245,B75981,1,5,0
U1247,B219096,1,5,0
U1257,B1545,1,5,0
U1259,B3777,1,5,0
U1270,B86111,1,5,0
U1274,B48788,1,5,0
U1275,B3777,1,5,0
U1285,B113027,1,5,0
U1285,B221659,1,5,0
U1296,B3777,1,5,0
U1303,B223184,1,5,0
U1303,B65407,1,5,1
U1303,B3777,1,5,1
U1303,B55322,1,5,0
U1315,B20022,1,5,0
U1315,B226525,1,5,0
U1354,B207973,1,5,0
U1364,B69784,1,5,1
U1377,B239363,1,5,0
U1379,B7318,1,5,0
U1397,B67130,1,5,0
U1397,B67771,1,5,1
U1398,B241905,1,5,1
U1404,B1545,1,5,0
U1414,B12457,1,5,0
U1419,B243271,1,5,1
U1431,B29868,1,5,0
U1431,B1545,1,5,0
U1440,B3777,1,5,1
U1440,B246136,1,5,1
U1441,B23132,1,5,0
U1449,B249174,1,5,0
U1449,B22163,1,5,1
U1454,B1545,1,5,0
U1460,B7318,1,5,0
U1463,B118119,1,5,0
U1466,B123008,1,5,0
